Id,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,12116.741935483871,7.8096773855147825,7.8096773855147825,0,2.8583871126174927,0.7941935403693109,4.152903241495932,0,38.70967741935484,19.161290322580644,219.93548387096774,848.1612903225806,1816.4193548387098,1.08,360.28,383.2
1624580081,5743.903225806452,3.9148387293661786,3.9148387293661786,0,0.9393548427089551,0.3606451620017327,2.606774180166183,0.006129032,8.677419355,5.806451612903226,153.48387096774192,1257.741935483871,1483.3548387096773,,,
1644430081,7282.966666666666,5.295333353678386,5.295333353678386,0,0.7300000009437402,0.9510000019023814,3.6090000212192543,0.004,9.566666666666666,21.366666666666667,178.46666666666667,1161.8666666666666,2811.3,1,294,346
1844505072,2580.064516129032,1.7061290368437774,1.7061290368437774,0,0.008387097,0.049032256,1.6474193385051146,0,0.12903225806451613,1.2903225806451613,115.45161290322581,1206.6129032258063,1573.483870967742,1,652,961
1927972279,916.1290322580645,0.6345161230814076,0.6345161230814076,0,0.095806451,0.031290323,0.5070967686272442,0,1.3225806451612903,0.7741935483870968,38.58064516129032,1317.4193548387098,2172.8064516129034,1.6,417,437.8
2022484408,11370.645161290322,8.084193491166635,8.084193491166635,0,2.4216128837677733,0.720000003,4.942580638393278,0,36.29032258064516,19.35483870967742,257.4516129032258,1112.5806451612902,2509.967741935484,,,
2026352035,5566.870967741936,3.4548387152533375,3.4548387152533375,0,0.006129032,0.011290322,3.436129040295078,0,0.096774194,0.25806451612903225,256.64516129032256,689.4193548387096,1540.6451612903227,1,506.17857142857144,537.6428571428571
2320127002,4716.870967741936,3.187741904489456,3.187741904489456,0,0.10677419302444309,0.097741935,2.980322566724593,0,1.3548387096774193,2.5806451612903225,198.19354838709677,1220.0967741935483,1724.1612903225807,1,61,69
2347167796,9519.666666666666,6.355555535915001,6.355555535915001,0,1.0594444330781696,1.0749999913904404,4.221666708485121,0,13.5,20.555555555555557,252.5,687.1666666666666,2043.4444444444443,1,446.8,491.3333333333333
2873212765,7555.774193548387,5.101612860156644,5.101612860156644,0,0.6761290309650283,0.2761290323349737,4.143548413630454,0.00516129,14.096774193548388,6.129032258064516,308,1097.1935483870968,1916.967741935484,,,
3372868164,6861.65,4.707000041007996,4.707000041007996,0,0.6294999971985812,0.1529999984428286,3.909999966621399,0.011,9.15,4.1,327.9,1077.55,1933.1,,,
3977333714,10984.566666666668,7.516999944051109,7.516999944051109,0,1.6149999824663002,2.750999979178111,3.1343333443005883,0,18.9,61.266666666666666,174.76666666666668,707.5333333333333,1513.6666666666667,1.1428571428571428,293.64285714285717,461.14285714285717
4020332650,2267.2258064516127,1.6261290389323428,1.6261290389323428,0,0.14225806103598682,0.12967741681683448,1.308387081949941,0.005483871,5.193548387096774,5.354838709677419,76.93548387096774,1237.258064516129,2385.8064516129034,1,349.375,379.75
4057192912,3838,2.862500012,2.862500012,0,0.052499998,0.064999998,2.6875,0,0.75,1.5,103,1217.25,1973.75,,,
4319703577,7268.8387096774195,4.892258047036105,4.892258047036105,0,0.27806451628285084,0.5022580647660839,3.7687096383662944,0,3.5806451612903225,12.32258064516129,228.7741935483871,735.8064516129032,2037.6774193548388,1.0384615384615385,476.65384615384613,501.96153846153845
4388161847,10813.935483870968,8.393225892897574,8.393225892897574,0,1.7193548346479093,0.9019354778912758,5.396129046716998,0,23.161290322580644,20.35483870967742,229.3548387096774,836.6774193548387,3093.8709677419356,1.2916666666666667,403.125,426.2083333333333
4445114986,4796.548387096775,3.2458064402303384,3.2458064402303384,0,0.5232258109796433,0.07548387,2.6448387099850565,0,6.612903225806452,1.7419354838709677,209.09677419354838,829.9032258064516,2186.1935483870966,1.3928571428571428,385.17857142857144,416.82142857142856
4558609924,7685.129032258064,5.080645176672166,5.080645176672166,0,0.5493548389884728,0.6822580661504501,3.8477419460973428,0,10.387096774193548,13.709677419354838,284.96774193548384,1093.6129032258063,2033.258064516129,1,127.6,140
4702921684,8572.064516129032,6.9551612830931155,6.9551612830931155,0,0.4174193547618007,1.3048387092928728,5.225483921266372,0,5.129032258064516,26.032258064516128,237.48387096774192,766.4193548387096,2965.548387096774,1.0714285714285714,421.14285714285717,441.9642857142857
5553957443,8612.580645,5.63967745,5.63967745,0,1.4641935488870066,0.6690322631789795,3.5045160958843837,0,23.419354838709676,13,206.19354838709677,668.3548387096774,1875.6774193548388,1.2258064516129032,463.48387096774195,505.8709677419355
5577150313,8304.433333333332,6.213333304723104,6.213333304723104,0,3.113666655619938,0.658000005,2.4279999891916924,0,87.33333333333333,29.833333333333332,147.93333333333334,754.4333333333333,3359.633333333333,1.0384615384615385,432,460.61538461538464
6117666160,7046.714285714285,5.342142914022717,5.342142914022717,0,0.12821428477764124,0.083928572,4.843214298997608,0,1.5714285714285714,2.0357142857142856,288.35714285714283,796.2857142857143,2261.1428571428573,1.2222222222222223,478.77777777777777,510.1666666666667
6290855005,5649.551724137931,4.272413805,4.272413805,0,0.085517242,0.12827586305552513,4.048620709057512,0.008620689,2.7586206896551726,3.793103448275862,227.44827586206895,1193.0344827586207,2599.6206896551726,,,
6775888955,2519.6923076923076,1.8134615161241252,1.8134615161241252,0.075369078,0.7092307667033027,0.38423076959756697,0.7115384657652333,0,11,14.807692307692308,40.15384615384615,1299.423076923077,2131.769230769231,1,349.6666666666667,369
6962181067,9794.806451612903,6.585806477454403,6.519354851015153,0.32369965122592065,1.6164516191328722,0.9599999934434885,4.001612924760388,0.006774194,22.806451612903224,18.516129032258064,245.80645161290323,662.3225806451613,1982.032258064516,1.096774193548387,448,466.1290322580645
7007744171,11323.423076923076,8.015384591542757,7.575769214,2.1186733337549066,2.414999987070377,0.7384615299793389,4.8615384468665495,0.000769231,31.03846153846154,16.26923076923077,280.7307692307692,1055.3461538461538,2544,1,68.5,71.5
7086361926,9371.774193548386,6.388064507815627,6.388064507815627,0,2.781290325426286,0.7732258047307693,2.8187096621841197,0,42.58064516129032,25.35483870967742,143.83870967741936,850.4516129032259,2566.3548387096776,1,453.125,466.4166666666667
8053475328,14763.290322580646,11.475161198646788,11.475161198646788,0,8.514838741671657,0.4238709647568961,2.5338709546673686,0,85.16129032258064,9.580645161290322,150.96774193548387,1148,2945.8064516129034,1,297,301.6666666666667
8253242879,6482.1578947368425,4.667368468485381,4.667368468485381,0,2.2142104898628436,0.695789477,1.754736845430575,0.000526316,20.526315789473685,14.31578947368421,116.89473684210526,1287.3684210526317,1788,,,
8378563200,8717.709677419354,6.913548461852531,6.913548461852531,1.116157793229626,2.5035484019787075,0.5190322548151016,3.889354821174376,0,58.67741935483871,10.258064516129032,156.09677419354838,716.1290322580645,3436.5806451612902,1.125,443.34375,483.3125
8583815059,7198.5161290322585,5.615483822361117,5.615483822361117,0,0.7980645258099804,1.0206451528976042,2.6174193466863325,0,9.677419355,22.193548387096776,138.29032258064515,1267.225806451613,2732.032258064516,,,
8792009665,1853.7241379310344,1.1865517168209476,1.1865517168209476,0,0.024827587,0.058275863,1.1034482707237374,0,0.9655172413793104,4.0344827586206895,91.79310344827586,1060.4827586206898,1962.3103448275863,1,435.6666666666667,453.8
8877689391,16040.032258064517,13.212903138129944,13.212903138129944,0,6.637419362342162,0.3377419348445629,6.188709674342987,0.00516129,66.06451612903226,9.935483870967742,234.70967741935485,1112.8709677419354,3420.2580645161293,,,
